compound_name,label,MW,LogP,HBD,TPSA,RingCount,RotBonds
ls-190695,0,314.411,1.459,2.0,83.58,1.0,10.0
ranitidine,0,329.426,0.974,2.0,95.94,1.0,9.0
n-[3-[5-[(dimethylamino)methyl]furan-2-yl]sulfanylpropyl]-n'-methyl-2-nitroethanimidamide,0,314.411,1.718,1.0,83.91,1.0,9.0
chembl1907165,0,314.411,1.469,1.0,83.91,1.0,9.0
ranitidine base,0,314.411,1.459,2.0,83.58,1.0,10.0
,0,300.384,1.328,1.0,83.91,1.0,8.0
digoxin,0,780.949,2.218,6.0,203.06,8.0,7.0
compound 5,0,474.649,4.924,1.0,59.39,5.0,6.0
ftc; emtricitabine,0,247.251,-0.455,2.0,90.37,2.0,2.0
cogoxin,0,780.949,2.218,6.0,203.06,8.0,7.0
nsc606170,0,211.221,-0.505,2.0,90.37,2.0,2.0
"2',3'-dideoxycytidine (zalcitabine)",0,211.221,-0.505,2.0,90.37,2.0,2.0
bufotenine,0,204.273,1.978,2.0,39.26,2.0,3.0
y12,0,367.401,2.909,1.0,81.7,2.0,7.0
y-g12 (bbcpd10),0,204.237,0.515,2.0,83.72,2.0,2.0
72801-60-6,0,233.3,1.297,3.0,103.31,2.0,2.0
chembl1950329,0,524.712,5.888,0.0,77.32,5.0,9.0
az599,0,473.639,3.248,0.0,71.85,5.0,4.0
miltefosine,0,408.584,6.308,1.0,55.76,0.0,20.0
acrivastine,0,348.446,4.015,1.0,53.43,3.0,6.0
compound 35,0,324.406,1.735,1.0,83.91,2.0,9.0
74188-86-6,0,324.406,2.923,2.0,87.34,2.0,9.0
bbcpd17,0,310.379,2.782,2.0,87.34,2.0,8.0
sulpiride,0,341.433,0.557,2.0,101.73,2.0,6.0
salicylic acid (2-hydroxybenzoic acid),0,138.122,1.09,2.0,57.53,1.0,1.0
norfloxacin,0,319.336,1.268,2.0,74.57,3.0,3.0
bromocriptine,0,654.606,3.193,3.0,118.21,7.0,5.0
bromocriptine,0,654.606,3.193,3.0,118.21,7.0,5.0
ergotamine,0,597.716,1.558,3.0,114.45,8.0,4.0
lupitidine (y-g5; skf93479),0,413.547,3.064,2.0,87.05,3.0,10.0
cytisine,0,190.246,0.555,1.0,34.03,3.0,0.0
amiodarone,0,645.319,6.936,0.0,42.68,3.0,11.0
lupitidine,0,413.547,3.196,3.0,109.83,3.0,9.0
zolmitriptan,0,287.363,1.923,2.0,57.36,3.0,5.0
127779-20-8,0,670.855,3.092,5.0,166.75,5.0,12.0
vincristine,0,824.972,3.518,3.0,171.17,9.0,8.0
vincristine,0,824.972,3.518,3.0,171.17,9.0,8.0
139264-82-7,0,287.363,1.923,2.0,57.36,3.0,5.0
fexofenadine (allegra),1,501.667,5.511,3.0,81.0,4.0,10.0
proc-19m,1,477.649,4.728,0.0,53.09,4.0,7.0
ivermectin,1,875.106,5.601,3.0,170.06,7.0,8.0
chembl68445,1,440.499,5.246,2.0,88.52,4.0,8.0
oseltamivir,1,314.426,1.343,2.0,82.81,1.0,9.0
cadralazine,1,297.359,1.145,3.0,99.61,1.0,7.0
compound 17,1,373.416,2.313,0.0,72.5,4.0,4.0
ac1nfq3w,1,389.411,2.211,1.0,74.87,6.0,1.0
156154-71-1,1,304.302,2.289,1.0,98.54,2.0,4.0
dm-44,1,304.302,2.289,1.0,98.54,2.0,4.0
amezinium,1,202.237,0.949,1.0,52.02,2.0,2.0
-,1,517.695,4.012,1.0,61.88,6.0,8.0
ro65-7674,1,429.571,2.182,1.0,79.6,5.0,4.0
chembl3264225,1,424.497,2.522,3.0,92.95,3.0,11.0
"celecoxib, celebrex",1,381.379,3.514,1.0,77.98,3.0,3.0
liarozole,1,308.772,4.051,1.0,46.5,4.0,3.0
ridogrel,1,366.339,4.124,1.0,71.78,2.0,8.0
chembl1185227,1,516.642,3.417,0.0,73.4,6.0,6.0
"takle-2; l-779,450",1,347.805,5.165,2.0,61.8,4.0,3.0
saquinavir,1,670.855,3.092,5.0,166.75,5.0,12.0
anabet,1,309.406,0.635,4.0,81.95,2.0,5.0
156154-42-6,1,293.75,3.034,1.0,55.4,2.0,3.0
nelfinavir mesylate,1,567.796,4.748,4.0,101.9,4.0,9.0
nelfinavir,1,581.823,4.79,4.0,101.9,4.0,11.0
miloxacin,1,263.205,0.487,1.0,86.99,3.0,2.0
chembl243790,1,531.674,6.663,1.0,76.07,5.0,9.0
atenolol ,1,266.341,0.452,3.0,84.58,1.0,8.0
prazosin,1,383.408,1.785,1.0,106.95,4.0,4.0
glibenclamide,1,494.013,3.642,3.0,113.6,3.0,8.0
prednisone,1,358.434,1.766,2.0,91.67,4.0,2.0
161105-56-2,1,470.657,5.307,2.0,44.73,6.0,8.0
l001588,1,444.526,3.068,3.0,91.48,4.0,6.0
mk-0969,1,444.526,3.068,3.0,91.48,4.0,6.0
s118,1,340.489,2.632,1.0,60.85,3.0,5.0
4201-26-7,1,209.68,2.02,2.0,36.42,2.0,1.0
takle-1; sb-590885,1,467.573,4.431,2.0,86.63,5.0,8.0
sulfamethoxypyridazine,1,280.309,0.868,2.0,107.2,2.0,4.0
alovudine,1,244.222,-0.537,2.0,84.32,2.0,2.0
chembl357268,1,375.428,3.948,3.0,93.45,3.0,6.0
nsc169534,1,543.525,0.001,6.0,206.07,5.0,5.0
doxorubicin,1,543.525,0.001,6.0,206.07,5.0,5.0
omeprazole,1,345.424,2.9,1.0,83.09,3.0,5.0
ly2066948,1,517.647,6.273,1.0,76.07,5.0,8.0
domperidone,1,425.92,3.353,2.0,78.82,5.0,5.0
aciclovir,1,225.208,-1.332,3.0,119.05,2.0,4.0
"tiotidine (skb10, y-g10)",1,312.428,0.328,5.0,135.0,1.0,6.0
penicillic acid,1,170.164,0.746,1.0,63.6,0.0,4.0
chembl213760,1,441.56,4.632,0.0,63.91,5.0,6.0
compound 4b [pmid: 16099654],1,321.34,2.569,1.0,81.93,4.0,3.0
compound 13,1,516.071,3.615,2.0,93.7,4.0,8.0
colchicine,1,399.443,2.872,1.0,83.09,3.0,5.0
risperidone-9-oh,1,425.504,3.686,1.0,71.5,5.0,4.0
levodopa,1,197.19,0.052,4.0,103.78,1.0,3.0
d-phenylalanine-l-proline,1,278.308,0.564,2.0,92.86,2.0,5.0
"2',3'-dideoxy-3'-hydroxymethylcytidine",1,241.247,-1.286,3.0,110.6,2.0,3.0
penicillic acid,1,170.164,0.746,1.0,63.6,0.0,4.0
irie-16c,1,468.602,3.118,2.0,120.24,4.0,7.0
"2´,3´-dideoxy-3´-hydroxymethylcytidine",1,241.247,-1.286,3.0,110.6,2.0,3.0
cyclosporine a,1,1202.635,3.269,5.0,278.8,1.0,15.0
cyclosporine a,1,1202.635,3.269,5.0,278.8,1.0,15.0
cyclosporin a,1,1202.635,3.269,5.0,278.8,1.0,15.0
cyclosporin a,1,1202.635,3.269,5.0,278.8,1.0,15.0
n-methylthiazolium-dcka,1,398.291,3.429,1.0,63.04,3.0,4.0
levodopa,1,197.19,0.052,4.0,103.78,1.0,3.0
chembl244000,1,455.554,6.575,2.0,62.16,5.0,7.0
ofloxacin,1,361.373,1.544,1.0,75.01,4.0,2.0
indinavir,1,613.803,2.867,4.0,118.03,5.0,11.0
chembl344991,1,414.531,4.514,2.0,87.34,3.0,11.0
-,1,400.504,4.373,2.0,87.34,3.0,10.0
b-057,1,369.534,4.605,2.0,44.2,3.0,10.0
,1,369.534,4.605,2.0,44.2,3.0,10.0
zidovudine,1,267.245,-0.196,2.0,133.08,2.0,3.0
roscovitine,1,354.458,3.202,3.0,87.89,3.0,8.0
zidovudine,1,268.253,-0.956,3.0,134.63,2.0,3.0
zidovudine,1,269.261,-0.971,4.0,132.56,2.0,4.0
ncistruc1_000794,1,267.245,-0.196,2.0,133.08,2.0,3.0
"alfentanil, rapifen",1,430.553,1.774,0.0,85.49,3.0,10.0
6-mercaptopurine,1,152.182,1.015,2.0,57.36,2.0,0.0
zidovudine,1,267.245,-0.196,2.0,133.08,2.0,3.0
cyclosporin a,1,1202.635,3.269,5.0,278.8,1.0,15.0
quinidine,1,323.436,4.515,1.0,42.35,5.0,4.0
"n-[3-hydroxy-5-[[3-methyl-2-[[[methyl-[(2-propan-2-yl-4-thiazolyl)methyl]amino]-oxomethyl]amino]-1-oxobutyl]amino]-1,6-diphenylhexan-2-yl]carbamic acid 5-thiazolylmethyl ester",1,720.962,5.905,4.0,145.78,4.0,17.0
levocabastine hydrochloride,1,420.528,4.894,1.0,64.33,4.0,4.0
"5-chloro-4-methyl-1,4-dihydroquinazolin-2-amine",1,195.653,2.141,2.0,50.41,2.0,0.0
2-o-methyl-paf (c),1,524.744,7.119,1.0,74.22,0.0,27.0
mitratapid,1,717.296,5.553,0.0,104.7,7.0,12.0
verapamil,1,454.611,5.093,0.0,63.95,2.0,13.0
dexverapamil,1,454.611,5.093,0.0,63.95,2.0,13.0
chembl239099,1,458.562,3.443,0.0,76.88,5.0,5.0
paliperidone,1,426.492,3.081,1.0,84.39,5.0,4.0
granisetron,1,312.417,2.318,1.0,50.16,4.0,2.0
s120,1,231.203,-0.845,2.0,78.64,2.0,2.0
chembl476130,1,426.565,2.859,3.0,111.96,4.0,7.0
7-hydroxy risperidone,1,426.492,2.561,1.0,84.39,5.0,4.0
ribavirin,1,244.207,-3.011,4.0,143.72,2.0,3.0
-,1,356.245,3.216,3.0,78.01,2.0,7.0
bbcpd12 (cimetidine derivative) (skb15),1,357.233,3.426,2.0,83.85,2.0,7.0
ribavirin,1,244.207,-3.011,4.0,143.72,2.0,3.0
y15,1,138.174,0.015,4.0,104.08,1.0,0.0
compound 31,1,357.233,2.238,1.0,80.42,2.0,7.0
b-049,1,357.233,3.426,2.0,83.85,2.0,7.0
nalidixicacid,1,232.239,1.423,1.0,72.19,2.0,2.0
112598-30-8,1,278.337,2.663,2.0,83.85,2.0,7.0
prazosin,1,382.42,2.511,0.0,80.93,4.0,4.0
y16,1,384.435,4.035,1.0,58.64,4.0,5.0
schembl5010920,1,486.412,5.223,1.0,58.64,4.0,2.0
compound 32,1,278.337,1.476,1.0,80.42,2.0,7.0
tolonidine,1,209.68,2.02,2.0,36.42,2.0,1.0
itraconazole,1,705.647,5.577,0.0,104.7,7.0,11.0
itraconazole,1,705.647,5.577,0.0,104.7,7.0,11.0
norverapamil,1,440.584,4.751,1.0,72.74,2.0,13.0
ketoconazole,1,531.44,4.206,0.0,69.06,5.0,7.0
jnj-5207787,1,511.67,4.627,0.0,70.89,5.0,7.0
,1,350.443,4.381,2.0,72.19,3.0,5.0
darifenacin,1,426.56,3.958,1.0,55.56,5.0,7.0
darifenacin,1,426.56,3.958,1.0,55.56,5.0,7.0
alovudine ,1,244.222,-0.537,2.0,84.32,2.0,2.0
s-methylisothiourea,1,90.151,0.243,2.0,49.87,0.0,0.0
beta-oxycodol,1,303.358,0.498,3.0,70.95,5.0,1.0
"(4as,7r,7ar,12bs)-9-methoxy-3-methyl-1,2,4,5,6,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,7-diol",1,317.385,0.84,2.0,62.16,5.0,1.0
chembl239299,1,457.521,3.707,0.0,53.09,4.0,7.0
s 18986,1,224.285,0.905,1.0,49.41,3.0,0.0
bromocriptine,1,638.607,3.873,2.0,97.98,7.0,5.0
schembl6949469,1,300.318,1.592,1.0,92.13,3.0,2.0
s-licarbizine,1,254.289,2.493,2.0,66.56,3.0,0.0
chembl2096766,1,453.586,5.497,1.0,46.5,5.0,9.0
tacedinaline,1,269.304,2.479,3.0,84.22,2.0,3.0
tipr-dcka,1,596.562,5.742,2.0,131.27,3.0,11.0
chembl390020,1,455.554,6.575,2.0,62.16,5.0,7.0
chembl195725,1,505.637,2.403,3.0,131.19,3.0,11.0
ncgc00159461-02,1,505.637,2.403,3.0,131.19,3.0,11.0
amprenavir,1,505.637,2.403,3.0,131.19,3.0,11.0
bmsp,1,488.401,4.322,0.0,43.86,4.0,6.0
practolol,1,266.341,1.383,3.0,70.59,1.0,7.0
paclitaxel,1,853.918,3.736,4.0,221.29,7.0,10.0
pregabalin,1,159.229,1.082,2.0,63.32,0.0,5.0
zolpidem,1,309.413,2.847,1.0,35.58,3.0,3.0
515134-70-0,1,348.446,3.694,2.0,58.2,4.0,6.0
acetazolamide,1,222.251,-0.856,2.0,115.04,1.0,2.0
4-epiminocycline,1,457.483,0.03,5.0,164.63,4.0,3.0
minocycline,1,457.483,0.03,5.0,164.63,4.0,3.0
eletriptan,1,382.529,3.821,1.0,53.17,4.0,6.0
tg4-155,1,394.471,3.805,1.0,61.72,3.0,8.0
sb-357134,1,523.222,3.57,2.0,70.67,3.0,5.0
bis(chloroethyl)nitrosourea (carmustine) (bcnu),1,214.052,1.157,1.0,61.77,0.0,5.0
besonprodil,1,402.491,3.323,1.0,72.3,4.0,6.0
chembl2111136,1,308.381,3.676,1.0,47.16,3.0,5.0
schembl8717354,1,414.549,4.085,1.0,43.78,4.0,7.0
faha,1,266.316,2.271,2.0,58.2,1.0,8.0
50-78-2,1,180.159,1.31,1.0,63.6,1.0,2.0
phenylbutazone,1,308.381,3.788,0.0,40.62,3.0,5.0
gefitinib,1,446.91,4.276,1.0,68.74,4.0,8.0
epicorticosterone,1,346.467,2.667,2.0,74.6,4.0,2.0
melphalan,1,305.205,1.925,2.0,66.56,1.0,8.0
isotretinoin (13-cis-retinoic acid),1,300.442,5.603,1.0,37.3,1.0,5.0
11-cis retinoic acid,1,300.442,5.603,1.0,37.3,1.0,5.0
tretinoin,1,300.442,5.603,1.0,37.3,1.0,5.0
zolpidem,1,307.397,3.249,0.0,37.61,3.0,3.0
stavudine,1,224.216,-0.709,2.0,84.32,2.0,2.0
phenothiazine,1,300.427,3.257,0.0,29.54,3.0,4.0
chembl385336,1,350.447,3.624,0.0,51.02,4.0,3.0
temozolomide,1,194.154,-2.078,1.0,108.17,2.0,1.0
chembl148058,1,408.47,2.545,1.0,80.47,3.0,6.0
skb30 (npropylacetamide33npiperidinylmethylphenoxy),1,290.407,2.578,1.0,41.57,2.0,7.0
y30,1,578.452,5.613,3.0,111.5,6.0,7.0
naratriptan,1,335.473,2.069,2.0,65.2,3.0,5.0
chembl239975,1,439.531,3.57,0.0,53.09,4.0,7.0
flesinoxan,1,415.465,1.51,2.0,74.27,4.0,6.0
flesinoxan,1,415.465,1.51,2.0,74.27,4.0,6.0
salicyluric acid (salicylurate),1,195.174,0.207,3.0,86.63,1.0,3.0
-,1,276.38,2.551,2.0,52.57,2.0,7.0
skf 89124,1,276.38,2.551,2.0,52.57,2.0,7.0
besp,1,502.428,4.712,0.0,43.86,4.0,7.0
fleroxacin,1,369.343,1.699,1.0,65.78,3.0,4.0
cycloleucine,1,129.159,0.342,2.0,63.32,1.0,1.0
dibudipine,1,430.501,4.513,1.0,107.77,2.0,4.0
topotecan,1,421.453,1.847,2.0,104.89,5.0,3.0
topotecan,1,441.509,3.499,2.0,104.89,5.0,3.0
pfizer compound 14,1,429.586,2.989,2.0,70.67,4.0,6.0
mgs0028,1,217.152,-1.22,3.0,117.69,2.0,2.0
sumatriptan,1,295.408,1.321,2.0,65.2,2.0,6.0
carteolol,1,292.379,1.699,3.0,70.59,2.0,5.0
acrylonitrile,1,53.064,0.696,0.0,23.79,0.0,0.0
pf-4447943,1,395.467,1.497,1.0,101.82,5.0,4.0
probenecid,1,285.365,2.196,1.0,74.68,1.0,7.0
mesoridazine,1,386.586,4.901,0.0,29.54,4.0,4.0
compound 3a [pmid: 16099654],1,307.309,3.254,1.0,77.25,4.0,2.0
"tramiprosate, alzhemed",1,139.176,-0.777,2.0,80.39,0.0,3.0
chembl1190347,1,467.997,4.225,0.0,53.09,5.0,5.0
compound 6h,1,454.531,2.895,4.0,136.03,4.0,10.0
sb 649915,1,431.536,4.208,1.0,63.69,5.0,6.0
alpha-(4-pyridyl-1-oxide)-n-tert-butylnitrone,1,194.234,1.048,0.0,53.01,1.0,1.0
"alpha-(4-pyridyl-1-oxide)-n-tert-
butylnitrone",1,194.234,1.048,0.0,53.01,1.0,1.0
alpha-(4-pyridyl-1-oxide)-n-tert-butylnitrone,1,194.234,2.288,0.0,46.38,1.0,1.0
nolpitantium,1,620.685,8.226,0.0,29.54,7.0,9.0
escitalopram,1,324.399,3.813,0.0,36.26,3.0,5.0
chembl243571,1,546.689,6.12,1.0,79.31,5.0,9.0
pfizer compound 18,1,500.69,4.449,2.0,83.56,4.0,8.0
liv-20a,1,326.4,2.937,1.0,67.35,3.0,5.0
mesoridazine,1,318.486,3.431,0.0,23.55,3.0,4.0
"[(2r,9s)-2-carbamoyl-9-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenyl] acetate",1,295.338,2.464,1.0,69.39,3.0,2.0
schembl11119364,1,266.344,4.124,1.0,46.33,3.0,0.0
"carbamazepine, 9,10-epoxide",1,251.285,2.43,1.0,55.62,4.0,1.0
cbz-epo,1,250.301,3.488,1.0,46.33,4.0,0.0
,1,251.285,2.43,1.0,55.62,4.0,1.0
cotinine,1,176.219,1.375,0.0,33.2,2.0,1.0
risperidone,1,409.505,4.195,0.0,51.27,5.0,4.0
schembl8639797,1,344.374,2.814,0.0,69.26,4.0,4.0
acetaminophen (p-acetamidophenol),1,151.165,1.351,2.0,49.33,1.0,1.0
betahistine (y-g 14),1,136.198,0.843,1.0,24.92,1.0,3.0
theophylline,1,180.167,-1.04,1.0,72.68,2.0,0.0
b-096,1,252.273,3.029,1.0,58.86,4.0,0.0
dichloromethane,1,84.933,1.421,0.0,0.0,0.0,0.0
morphine,1,285.343,1.198,2.0,52.93,5.0,0.0
16a-fluoroestradiol,1,290.378,3.557,2.0,40.46,4.0,0.0
cyclobarbital,1,236.271,1.249,2.0,75.27,2.0,2.0
fg-8205,1,357.801,3.285,0.0,77.05,4.0,2.0
16alpha-fluoroestradiol,1,290.378,3.557,2.0,40.46,4.0,0.0
paclitaxel,1,853.918,3.736,4.0,221.29,7.0,10.0
,1,343.774,2.943,1.0,85.84,4.0,2.0
dpdpe,1,645.804,1.112,7.0,199.95,3.0,7.0
dpdpe,1,645.804,1.112,7.0,199.95,3.0,7.0
theobromine,1,179.179,-0.107,1.0,67.22,2.0,0.0
ethosuximide,1,141.17,0.449,1.0,46.17,1.0,1.0
78755-81-4,1,303.293,1.774,0.0,64.43,3.0,2.0
59468-85-8,1,341.773,3.815,1.0,50.41,4.0,1.0
"theobromine (3,7-dimethylxanthine)",1,180.167,-1.04,1.0,72.68,2.0,0.0
schembl5869149,1,356.36,4.222,1.0,78.14,4.0,2.0
ns 1738,1,365.138,5.362,3.0,61.36,2.0,2.0
7439-93-2,1,6.941,-0.381,0.0,0.0,0.0,0.0
loratadine,1,382.891,4.888,0.0,42.43,4.0,1.0
camptothecin,1,348.358,2.08,1.0,81.42,5.0,1.0
camptothecin,1,368.414,3.732,1.0,81.42,5.0,1.0
theophylline,1,180.167,-0.681,0.0,65.34,2.0,0.0
"1,3-dimethyl-5,7-dihydro-4h-purine-2,6-dione",1,182.183,-1.164,1.0,65.01,2.0,0.0
ketoconazole,1,531.44,4.206,0.0,69.06,5.0,7.0
sotalol,1,272.37,1.09,3.0,78.43,1.0,6.0
"1,1-dichloroethane (ethylidene chloride)",1,98.96,1.81,0.0,0.0,0.0,0.0
compound 38,1,337.383,2.793,1.0,83.66,3.0,6.0
bbcpd19 (ranitidine analog),1,339.399,2.31,2.0,83.33,3.0,6.0
112598-49-9,1,337.383,3.79,2.0,87.09,3.0,6.0
65936-23-4,1,268.158,2.437,2.0,36.42,2.0,1.0
unii-13w6wjx09r,1,122.168,0.583,2.0,49.87,0.0,2.0
chembl358151,1,326.356,3.988,2.0,87.34,3.0,6.0
compound 37,1,326.356,2.991,1.0,83.91,3.0,6.0
bbcpd18 (ranitidine analog),1,312.329,3.993,2.0,87.34,3.0,5.0
107447-22-3,1,182.223,-0.066,2.0,58.2,2.0,0.0
alaptide,1,182.223,-0.066,2.0,58.2,2.0,0.0
i-1,1,523.44,4.086,0.0,43.86,4.0,6.0
loperamide,1,491.075,5.478,1.0,43.78,4.0,8.0
"8-[4-(5-(123i)iodanylthiophen-2-yl)-4-oxobutyl]-3-methyl-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one",1,523.44,4.086,0.0,43.86,4.0,6.0
99632-94-7,1,319.386,2.475,0.0,64.43,3.0,1.0
chembl478224,1,468.646,4.168,3.0,111.96,4.0,6.0
benzamide,1,121.139,0.786,1.0,43.09,1.0,1.0
bbcpd21,1,352.478,3.871,1.0,41.57,3.0,8.0
1-(3-fluoropropyl)-2-nitroimidazole (fpn),1,173.147,1.151,0.0,60.96,1.0,4.0
propargyl alcohol,1,56.064,-0.388,1.0,20.23,0.0,0.0
alprenolol,1,249.354,2.153,2.0,41.49,1.0,8.0
222722-65-8,1,360.417,2.996,1.0,72.42,4.0,4.0
allobarbital,1,208.217,0.491,2.0,75.27,1.0,4.0
schembl5488979,1,391.346,5.412,0.0,32.26,4.0,6.0
ticalopride,1,313.785,1.037,3.0,85.61,2.0,4.0
ticalopride,1,313.785,1.037,3.0,85.61,2.0,4.0
pfizer compound 16,1,379.504,3.405,2.0,53.6,4.0,6.0
